"filename", "language", "XML", "C#", "Docker", "JSON", "Markdown", "PowerShell", "Razor", "CSS", "SCSS", "JavaScript", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\Properties\launchSettings.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\appsettings.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\configuration.development.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109
"c:\Users\User\Desktop\UdemyMicroservices\Gateways\FreeCourse.Gateway\configuration.production.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109
"c:\Users\User\Desktop\UdemyMicroservices\IdentityServer\FreeCourse.IdentityServer\Config.cs", "C#", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 89
"c:\Users\User\Desktop\UdemyMicroservices\IdentityServer\FreeCourse.IdentityServer\Controllers\UserController.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 58
"c:\Users\User\Desktop\UdemyMicroservices\IdentityServer\FreeCourse.IdentityServer\DTOs\SignUpDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\UdemyMicroservices\IdentityServer\FreeCourse.IdentityServer\Data\ApplicationDbContext.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\User\Desktop\UdemyMicroservices\IdentityServer\FreeCourse.IdentityServer\Dockerfile", "Docker", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\User\Desktop\UdemyMicroservices\IdentityServer\FreeCourse.IdentityServer\FreeCourse.IdentityServer.csproj", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
